id,title,parent_department_id,parent_priority,private,deleted_at,teleweb_queue,public_token,teleweb_incident_source_id,allow_transfer_if_empty,transfer_allowed_incident_source_ids,allow_transfer,internal_return_target,working_timeout_seconds,break_time,il_id,address,service_level_seconds,logo_isyeri_kodu,teleweb_incoming_call_action,new_tab_url,teleweb_shortcuts,phone_directory_group_ids,teleweb_incoming_tone,return_escape_call,return_escape_call_anons_id,outbound_cid,call_welcome_screen_fields,open_different_webforms,different_webforms,return_off_time_call,return_off_time_anons_id,break_options,last_was_in_wrap_up_second,molayi_sinirla,kuyrukta_bekleyen_kisi_sayisi_mola_siniri,take_break_if_disposition_code_is_not_selected,disposition_code_timeout_seconds,disposition_code_timeout,allow_postponed,moladaki_kisi_sayisi_mola_siniri,mudurluk,baskan_yardimciligi,teleweb_dashboard_incident_source_id,show_dashboard_convert_to_percent,daire_baskanligi,extra_teleweb_incident_source_ids,return_escape_call_time,mola_kisi_sayisi_sinirina_dahil_olan_mola_turleri,video_call_center,default_break_over_mode,return_escape_call_hour_range_start,return_escape_call_hour_range_end
15,Itfaiye Dairesi,0,4,1,,6088,BAJfg-105591,5,0,,1,totam,33,13,,"6069 Arıel Cliffs
North Nurcan, NC 33210",82,23484,dolor,http://safak.org/,"Maxime incidunt minima unde rerum. Aliquid perferendis iste ratione.
Enim ut deserunt et ullam ab aliquam. Totam quam nesciunt laboriosam.
Velit magni adipisci. Pariatur repellendus ea velit et.",,0,1,,(235)175 9223,Minima iusto voluptates repellat eius dignissimos illo. Reprehenderit consectetur cum nemo saepe est recusandae.,0,,1,,adipisci,42,0,,0,165,180,1,,odio,repudiandae,,0,asperiores,odio,8,adipisci,1,,13:55:22,14:08:12
16,Iklim Degisikligi ve Sifir Atik Dairesi,0,3,0,,7717,jUJpL-765371,4,0,,1,dolores,48,6,,"56525 Dumanlı Point
İnönüport, OK 00728",110,91660,esse,http://karadeniz.net/,"Reiciendis possimus officiis quo non. Nobis corporis rem ullam. Nisi laudantium voluptate labore tempora.
Assumenda debitis vel eos eaque. Fuga dolore soluta aut.",,1,0,,+90(158)248-2002x239,"Iure atque deleniti vitae ipsum aliquam modi. Architecto itaque placeat hic at voluptatum.
In excepturi et a. Quaerat eum commodi illum nulla error aperiam. Officiis recusandae perspiciatis.",0,,0,,est,51,1,,1,85,101,0,,rem,quasi,,1,quo,fugiat,10,veritatis,1,,12:00:33,12:44:27
17,Kadin ve Aile Hizmetleri,0,8,0,,1332,apjOF-429579,4,0,,0,facilis,14,8,,"36557 Soylu Ports
Nuyanfort, AL 75628",63,64065,incidunt,https://tofas.net/,Iste cupiditate laborum eum earum assumenda. Minus voluptatem voluptatum perspiciatis sint. Accusantium aliquid tenetur iure aspernatur dolorum. Consequatur ipsum repudiandae consequuntur inventore.,,0,1,,+90(841)948-0534x578,Voluptate ipsa in totam accusamus labore. Quod voluptate officiis at delectus.,0,,1,,fugiat,9,1,,0,135,147,0,,voluptas,repellat,,1,occaecati,commodi,8,harum,1,,2:24:51,18:17:37
18,Kalite Yonetimi ve Kent Arastirmasi,0,9,0,,5790,pEMvo-410992,2,1,,0,eos,30,11,,"667 Mucahit Station
Yorulmazshire, WV 04443",66,12610,harum,http://www.eraslan.org/,"Rem dignissimos vitae aliquid.
Sint expedita laudantium porro libero dolorem consectetur. Nostrum eum quidem occaecati odio. Eligendi laboriosam et illo mollitia ad aliquid.",,0,0,,625 7 418,Architecto veniam laborum beatae consequatur ab quo harum. Quia odit blanditiis consequatur eligendi recusandae.,1,,1,,itaque,28,0,,1,83,67,0,,porro,tempore,,0,reiciendis,hic,5,ex,0,,9:19:15,14:32:56
19,Kultur ve Sosyal Isler,0,6,0,,9311,yNQag-437935,3,1,,1,eum,35,14,,"7877 Şabettin Lights
Süleylachester, RI 16570",100,96285,nisi,http://durmus.com/,Tempora ad qui expedita pariatur nulla. Maiores voluptatum nihil. Laborum veritatis animi ad vitae alias.,,0,1,,+90 (561) 9520942,Illo eveniet numquam recusandae voluptas asperiores. Dignissimos eos nemo delectus animi asperiores voluptate.,0,,0,,hic,54,0,,1,156,173,0,,voluptas,nemo,,0,nesciunt,a,9,hic,0,,10:06:28,7:46:44
20,Makine Ikmal Bakim ve Onarim,0,8,0,,9876,AdoHR-400019,9,1,,1,fugiat,28,7,,"522 Hançer Isle
Lake Özkutlufort, NE 01794",108,22749,earum,https://www.anadolu.tr/,Ab voluptatem tempora aliquid nisi ipsum. Quis consequuntur pariatur libero qui similique. Illo in similique consectetur.,,0,0,,+90 (586) 1126152,Animi corporis repudiandae temporibus dignissimos et cupiditate. Laborum maxime velit quo. Minus maiores nesciunt quibusdam dolore corporis.,1,,1,,nam,56,1,,0,108,77,0,,porro,illum,,1,ipsum,eligendi,6,numquam,1,,9:07:46,3:18:17
21,Mali Hizmetler,0,7,0,,9940,nrxiE-522502,6,1,,0,nulla,10,7,,"02641 Ertaş Burgs
New Nazendemouth, VI 20785",60,65850,nesciunt,https://gulen.com/,Modi architecto laborum alias officiis iure laboriosam ratione. Et doloremque et beatae. Molestiae voluptates ut autem repudiandae vero ab. Asperiores pariatur minima voluptate excepturi.,,1,0,,+90(568)376-6460x9067,"Sequi sit accusamus. Aliquam expedita animi. Reprehenderit impedit incidunt velit.
Cum voluptatibus voluptas corrupti velit voluptate omnis.",1,,0,,sint,21,1,,1,92,111,1,,laudantium,corporis,,0,cupiditate,voluptatem,1,rem,1,,17:13:42,3:55:51
22,Mezarliklar Dairesi,0,1,1,,6227,QdvoM-834281,7,1,,1,earum,12,11,,"503 Sezer River Suite 746
East Evde, NV 87176",76,34069,expedita,https://turk.tr/,Alias debitis dolorum repudiandae repellendus corporis eaque. Dolor cumque reiciendis doloribus. Impedit iure laborum accusantium similique.,,1,1,,+90 (615) 2813048,Ipsam accusantium totam eaque nostrum nemo tenetur. Enim optio quisquam quia quidem nihil alias sunt. Repellat esse aliquid dolor voluptatibus vitae.,1,,0,,dolor,39,1,,0,151,158,0,,esse,quas,,0,vitae,nisi,6,provident,1,,6:04:44,2:54:55
23,Muhtarlik Isleri,0,9,0,,5707,UsDhM-859835,4,0,,1,sed,50,7,,"063 Durmuş Street Apt. 402
Barişchester, AS 35635",90,92456,nobis,https://www.durmus.net/,"Blanditiis hic illum cupiditate aut. Fugit sit hic dolores cupiditate similique doloremque. Omnis in quas animi.
Aperiam quis vitae aliquam. Quam illum asperiores quos praesentium culpa repudiandae.",,1,0,,+90(987)5100726,"Placeat voluptates consectetur dolorum. Alias nesciunt saepe deserunt laboriosam occaecati. Sint cumque facere exercitationem quod qui quod.
Aliquam laborum est quae. Fugiat earum ab.",1,,0,,minima,33,1,,1,139,85,1,,aspernatur,cupiditate,,1,ut,placeat,1,illum,1,,14:58:51,7:58:44
24,Ozel Kalem Mudurlugu,0,1,1,,4304,fJppV-001983,9,1,,0,eius,17,6,,"PSC 1005, Box 9034
APO AA 28546",114,77185,accusamus,https://www.borcelik.com/,Quibusdam sunt soluta. Qui modi repudiandae velit deserunt. Ipsum itaque iure voluptatem at expedita.,,0,0,,581769555,Quibusdam maiores fugiat nemo soluta. Fugiat labore beatae suscipit.,1,,0,,similique,57,1,,1,66,126,0,,praesentium,eos,,1,impedit,eos,2,sed,1,,5:02:37,22:30:08
25,Park ve Bahceler Dairesi,0,1,0,,7115,ffUrN-646485,3,0,,0,voluptatum,28,10,,"88263 Akça Drive Apt. 075
Zorluburgh, WV 09873",101,43179,eaque,https://ulker.net/,Deleniti voluptate ipsam dignissimos inventore fugiat. Dolorum illo dolor et doloribus at inventore. Deserunt vel illo quas quos.,,1,1,,+90(102)073-2645x3181,"Vel labore beatae praesentium nisi iste suscipit. Deserunt eveniet voluptas et odio molestias.
Architecto itaque recusandae eligendi quasi recusandae nulla. Inventore minima eveniet mollitia.",1,,1,,ab,50,0,,0,114,69,0,,quaerat,iusto,,0,sapiente,voluptatem,0,nihil,0,,15:19:29,6:47:30
26,Protokol ve Torenler S�ubesi,0,10,1,,8352,OLqio-389623,7,0,,0,magni,44,8,,"4498 Fırat Summit
Efilberg, MI 72194",87,14572,distinctio,http://www.kroman.net/,Ut voluptatum cum soluta repellat deserunt. Consectetur totam eius consequuntur eveniet sed.,,0,0,,(000)216 4314,"Facere velit ipsum. Repudiandae nisi corrupti.
Distinctio ea explicabo sapiente. Possimus illo earum tempora dolorem excepturi maiores. Accusantium incidunt itaque consectetur.",1,,0,,voluptatum,12,0,,1,178,66,1,,tempore,repellat,,0,ipsum,odio,7,saepe,0,,14:54:54,0:35:34
27,Saglik Isleri,0,1,1,,3482,byfbf-940837,7,0,,0,amet,58,11,,"31913 Yaman Grove
Sezerburgh, OR 37527",103,72974,possimus,http://limak.com/,Tempore saepe aperiam. Officiis aspernatur maiores cumque. Omnis blanditiis modi ut perspiciatis.,,1,1,,+90(518)1048833,"Asperiores earum facilis sit minima. Facere animi sequi nam.
Qui dolore ea. Sint doloremque vitae rerum excepturi quia. Asperiores occaecati aliquam molestiae quod vero.",0,,0,,iste,50,0,,0,100,172,1,,enim,ex,,0,nisi,quos,9,dolorum,0,,15:38:01,13:19:27
28,Sosyal Hizmetler,0,2,0,,3393,WGZNc-951407,2,0,,0,saepe,14,11,,"547 İkiz Estate
New Yargıborough, KS 01934",112,78029,sint,https://sensoy.tr/,Cum nesciunt animi quod. Architecto porro delectus ullam deleniti atque. Cum sint hic ipsa sed itaque occaecati.,,0,0,,+90 (362) 6613840,Dolores culpa dolore vitae pariatur cupiditate molestias. Dicta eum porro veritatis.,1,,1,,nulla,46,0,,0,81,67,1,,commodi,sed,,0,tenetur,incidunt,8,provident,1,,3:51:50,22:19:26
29,Tarimsal Hizmetler,0,8,0,,1357,cdCSE-813327,4,1,,0,inventore,11,7,,"179 Ergül Passage
İhsanoğluchester, UT 77074",73,55526,iure,https://ulker.org/,Quaerat porro consequuntur esse laborum consequatur saepe modi. Natus excepturi eligendi quod similique explicabo. Natus aliquam molestias temporibus fugiat neque sapiente laudantium.,,1,0,,(695)578 9375,Impedit saepe neque laborum cupiditate beatae quasi. Voluptatem nulla in quis natus atque quis amet. Dolorum autem quo id voluptates ut illum.,1,,1,,esse,10,0,,1,96,121,1,,alias,omnis,,0,ab,quidem,9,aliquid,0,,10:48:25,3:43:42
30,Teftis Kurulu,0,8,1,,4605,gVBXG-743590,10,0,,0,voluptas,33,11,,"09435 Tan Wells
Özaytown, CO 73833",111,80443,porro,https://www.tp.net/,Quas deserunt iure pariatur quis. Quisquam illum eius sunt. Voluptatibus possimus nemo corrupti nisi.,,1,0,,(456)493 7070,Laudantium molestias quisquam magni odio quis quae. Vero accusamus quisquam assumenda. Doloremque aperiam corrupti natus voluptatem labore ea officiis.,1,,1,,suscipit,6,0,,1,137,85,0,,similique,eos,,1,suscipit,repellat,4,magni,0,,22:06:36,22:58:30
31,Ulasim Dairesi,0,1,1,,5560,LZJGe-256360,10,1,,0,temporibus,25,5,,"Unit 4518 Box 3664
DPO AP 59425",85,43352,vero,http://safak.org/,"Ratione provident vel autem quae itaque ab.
Amet beatae pariatur quos veniam cum. Soluta inventore porro inventore exercitationem dicta sint. Suscipit ratione quibusdam illum ad et totam.",,0,0,,0870-900 0169,"Ratione provident ducimus at aliquid. Accusantium dolores soluta eligendi ad.
Quia voluptates magni aspernatur id. Harum dolores amet amet. Incidunt ut praesentium sequi alias.",0,,1,,iure,14,1,,1,73,118,0,,consectetur,deserunt,,0,quasi,dolor,6,accusamus,0,,11:04:37,9:02:11
32,Yol Yapim Bakim ve Onarim,0,3,0,,5346,SvnZP-273764,10,1,,0,velit,26,7,,"20105 Alemdar Locks
Ülkeborough, NM 00730",110,14559,quasi,http://www.seven.tr/,Odio libero occaecati necessitatibus unde repellendus. Dignissimos voluptatibus omnis id sit commodi. Quam vero unde.,,1,1,,132 5 684,Molestiae officia officiis soluta sequi quam. Quaerat in eligendi libero. Nulla iure sed veniam quos error.,0,,1,,quasi,3,1,,1,158,79,1,,incidunt,sit,,1,ullam,blanditiis,9,voluptatibus,1,,12:01:16,9:41:30
33,Yazi Isleri ve Kararlar,0,4,1,,6953,XUtGZ-894244,7,0,,0,quibusdam,53,15,,"821 Selaheddin Prairie
Port Kılıçbay, ID 94905",110,47993,error,https://www.gubre.com/,Id placeat inventore voluptatum. Exercitationem tempore ex soluta molestias. Officiis non nisi aliquid rerum id tempora. Voluptate praesentium doloribus omnis nemo modi dolorem.,,0,1,,+90(792)906-9483x766,Excepturi aspernatur numquam similique tempore odio minus saepe. Dolore veniam numquam cum autem asperiores.,0,,0,,molestias,15,1,,0,60,130,1,,incidunt,quam,,1,fugiat,beatae,4,fuga,1,,19:42:52,9:58:14
34,Zabita,0,6,1,,9381,UVJsS-796340,2,1,,1,id,31,11,,"60403 Dumanlı Passage
Hürüyetfurt, IN 40342",82,94087,tenetur,https://bilge.net/,Accusantium facere ipsam veniam. Neque at laborum debitis autem quam voluptatum. Dolorum doloremque eveniet.,,1,1,,0844-888 2527,Non quasi distinctio amet quo earum. Nemo vitae consequatur occaecati voluptatem exercitationem. Velit porro mollitia nulla numquam consequuntur.,1,,0,,hic,24,0,,0,172,64,1,,animi,aut,,0,sunt,exercitationem,5,deleniti,0,,10:45:40,6:50:13
35,Veteriner Isleri,0,7,1,,2915,HYTmg-887332,3,1,,0,quibusdam,35,14,,"47810 Şahmettin Cove Apt. 820
South Danış, PW 41419",74,96413,placeat,https://akdeniz.net/,Id minima natus voluptates explicabo officiis neque ab. Repudiandae atque pariatur tempore eos alias. Nobis expedita vitae iusto.,,0,0,,+90 (030) 2186220,"Suscipit ea sint. Vitae sapiente non iure nemo. Quos voluptates officiis.
Voluptate rerum accusamus perferendis minus accusantium. Dicta maiores nisi reiciendis unde iste cumque. Sunt eius dolorum.",1,,0,,culpa,0,1,,1,64,124,0,,voluptatem,enim,,0,accusantium,sunt,5,aspernatur,0,,17:12:02,19:26:50
